id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
6300101;99;135,62;2,5;1,2;27,78;1,55;0;0;0;3,51;2,23;0,08;1,19;382;14,53;0;0;0;0,08;0
6300201;99;130,95;2,56;1,97;25,56;2,72;0;0;0;5,15;58,13;0,26;1,23;282;74,42;0;0,08;0;0,08;0
6300701;1;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3,15;26,01;0,45;244,96;245;212,05;13,17;0,22;0;0,57;6,2
6300701;2;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3,15;26,01;0,45;244,96;245;212,05;13,17;0,22;0;0,57;6,2
6300701;3;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3,15;26,01;0,45;244,96;245;212,05;13,17;0,22;0;0,57;6,2
6300701;4;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3,15;26,01;0,45;244,96;245;212,05;13,17;0,22;0;0,57;6,2
6300701;7;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3;26;0,44;0;245;212;13,17;0,22;0;0,57;6,2
6300701;13;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3;26;0,44;0;245;212;13,17;0,22;0;0,57;6,2
6300701;99;160,14;3,32;7,18;25,11;4,25;0;3,16;0;3,15;26,01;0,45;244,96;245;212,05;13,17;0,22;0;0,57;6,2
6300706;1;79,68;1,24;2,2;13,5;0,67;0;0,29;0;3,45;6,93;0,74;131,5;126;25,96;1,83;0,11;0;0,18;0
6300706;2;62,95;1,24;0,31;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,03;0
6300706;13;79,68;1,24;2,2;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,18;0
6300706;14;62,95;1,24;0,31;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,03;0
6300706;15;31,44;0,95;0,12;7,01;0,71;0;3,28;2,52;8,56;6,35;0,29;310,43;0;88,32;33,48;0,03;0;0,2;2,1
6300706;99;62,95;1,24;0,31;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,03;0
6300707;99;62,95;1,24;0,31;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,03;0
6301001;99;567;25,8;49,24;16,13;8,5;0;4;0;92;168;4,58;18;0;705;0;0,64;0;8,33;0
6301101;99;109,09;5,36;3,06;15,63;5,5;0;5,94;0;27;39;1,54;3;236;271;40,08;0,26;0;0,37;14,2
6301201;99;85,62;4,8;3,17;10,1;3,6;0;1,24;0;18;31;1,5;41;222;193;18,83;0,13;0;0,34;19,8
6301204;99;85,62;4,8;3,17;10,1;3,6;0;1,24;0;18;31;1,5;41;222;193;18,83;0,13;0;0,34;19,8
6301603;99;121,33;3,17;3,13;20,32;5;0;0,34;0;128;52;1,12;4;229;418;39,58;0,1;0;0,45;2,2
6301634;99;121,33;3,17;3,13;20,32;5;0;0,34;0;128;52;1,12;4;229;418;39,58;0,1;0;0,45;2,2
6302001;99;534;18,29;42,16;28,88;27,3;0;1,55;0;255;392;5,73;30;0;813;0;1,64;0;0,31;0,6
6302602;99;97,41;5,84;1,79;15,05;3,78;0;0,3;0;55,2;38,2;2,22;5,2;219;336,6;0;0,07;0;0,69;0
6302801;99;188,48;8,86;5,36;27,42;7,6;0;1,7;0;49;48;2,89;7;230;291;1,33;0,12;0;0,58;1,3
6302901;99;136,28;9,02;2,67;20,13;5,86;0;0,39;0;19;36;3,33;2;191;369;0,42;0,17;0;0,3;1,5
6303001;99;196,34;16,64;11,61;9,93;6;0;0,8;0;102;86;5,14;1;219;515;0,42;0,16;0;0,57;1,7
6303102;99;97,41;5,84;1,79;15,05;3,78;0;0,3;0;55,2;38,2;2,22;5,2;219;336,6;0;0,07;0;0,69;0
6303501;99;62,95;1,24;0,31;13,5;0,67;0;0,29;0;3,37;6,93;0,74;5,01;126;25,93;1,83;0,11;0;0,03;0
6304034;99;121,33;3,17;3,13;20,32;5;0;0,34;0;128;52;1,12;4;229;418;39,58;0,1;0;0,45;2,2
6304101;99;97,41;5,84;1,79;15,05;3,78;0;0,3;0;55,2;38,2;2,22;5,2;219;336,6;0;0,07;0;0,69;0
6304201;99;445,94;10,77;17,78;64,85;12,07;0;0,72;0;6,49;119,91;2,67;1072,51;0;274,11;8,19;0,09;0;1,24;0
6304301;99;135,62;2,5;1,2;27,78;1,55;0;0;0;3,51;2,23;0,08;1,19;382;14,53;0;0;0;0,08;0
6304401;99;130,95;2,56;1,97;25,56;2,72;0;0;0;5,15;58,13;0,26;1,23;282;74,42;0;0,08;0;0,08;0
6304602;99;196,34;16,64;11,61;9,93;6;0;0,8;0;102;86;5,14;1;219;515;0,42;0,16;0;0,57;1,7
6304901;99;135,47;4,37;4,33;19,83;2,16;0;1,89;0;16,57;61,58;1,41;4,27;374;174,05;0,22;0,11;0;0,96;0
6400101;1;86;1,71;0,1;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,06;7,4
6400101;2;86;1,71;0,1;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,06;7,4
6400101;3;86;1,71;0,1;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,06;7,4
6400101;4;86;1,71;0,1;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,06;7,4
6400101;5;263,5;2,87;13,64;33,6;3,44;0;1,44;0;13,43;33,58;0,53;8,4;380;550,76;0,28;0,17;0;1,2;12,43
6400101;7;111,74;1,71;3,01;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,3;7,4
6400101;8;73,6;1,63;0,12;17,08;1,94;0;1,54;0;9;19,2;0,45;108,8;242;328,6;3,62;0,08;0;0,33;7,32
6400101;9;101,39;2,15;2,57;17,86;1,68;6,83;1,72;0;29,28;18,31;0,32;24,92;242;292,45;21,21;0,1;0,23;0,11;5,92
6400101;10;263,5;2,87;13,64;33,6;3,44;0;1,44;0;13,43;33,58;0,53;8,4;380;550,76;0,28;0,17;0;1,2;12,43
6400101;11;111,74;1,71;3,01;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,3;7,4
6400101;13;111,74;1,71;3,01;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,3;7,4
6400101;15;31,44;0,95;0,12;7,01;0,71;0;3,28;2,52;8,56;6,35;0,29;310,43;0;88,32;33,48;0,03;0;0,2;2,1
6400101;99;86;1,71;0,1;20,01;2,05;0;0,86;0;8;20;0,31;5;242;328;0,17;0,1;0;0,06;7,4
6400303;2;76;1,37;0,14;17,72;2,5;0;5,74;0;27;18;0,72;27;148;230;787;0,06;0;0,94;12,8
